ID,Education,Income,Marital_Status,Occupation,Children,Region,Gender
1,Master's Degree,Medium,Single,Senior Manager,1,North,Female
2,Master's Degree,Medium,Divorced,Senior Manager,2,East,Female
3,Bachelor's Degree,High,Married,Manager,0,South,Male
4,Bachelor's Degree,Low,Married,Manager,1,East,Male
5,Master's Degree,Low,Married,Senior Manager,1,West,Male
6,Master's Degree,Medium,Married,Senior Manager,2,East,Female
7,Bachelor's Degree,Medium,Married,Manager,1,East,Male
8,Bachelor's Degree,Medium,Single,Manager,0,West,Female
9,Master's Degree,Low,Single,Senior Manager,0,South,Female
10,High School,Low,Single,Student,0,Central,Male
11,Master's Degree,Medium,Single,Senior Manager,3,East,Female
12,Master's Degree,Low,Married,Senior Manager,0,South,Female
13,Bachelor's Degree,Low,Single,Manager,2,North,Female
14,Master's Degree,High,Married,Senior Manager,2,West,Female
15,Master's Degree,Low,Married,Senior Manager,0,Central,Female
16,Master's Degree,High,Married,Senior Manager,1,South,Female
17,Master's Degree,Low,Single,Senior Manager,0,West,Female
18,Master's Degree,Low,Married,Senior Manager,0,East,Male
19,Bachelor's Degree,High,Single,Manager,1,North,Male
20,Master's Degree,Medium,Married,Senior Manager,0,East,Male
21,Master's Degree,Low,Married,Senior Manager,2,North,Male
22,Bachelor's Degree,Low,Single,Manager,1,East,Male
23,Bachelor's Degree,High,Divorced,Manager,2,South,Male
24,Some College,Low,Single,Entry Level,0,East,Male
25,Bachelor's Degree,Low,Married,Manager,0,West,Female
26,Some College,Low,Single,Entry Level,0,North,Male
27,Master's Degree,High,Divorced,Senior Manager,0,North,Male
28,Master's Degree,Low,Single,Senior Manager,2,West,Female
29,Master's Degree,Medium,Married,Senior Manager,0,West,Male
30,Bachelor's Degree,Low,Married,Manager,1,North,Female
31,Bachelor's Degree,Medium,Single,Manager,2,East,Female
32,Master's Degree,Low,Married,Senior Manager,3,South,Female
33,High School,Low,Single,Student,0,Central,Female
34,Master's Degree,Low,Married,Senior Manager,0,West,Female
35,Master's Degree,Low,Married,Senior Manager,3,East,Male
36,Master's Degree,High,Married,Senior Manager,1,Central,Male
37,Bachelor's Degree,Medium,Married,Manager,1,West,Female
38,Bachelor's Degree,High,Single,Manager,3,West,Female
39,Master's Degree,High,Single,Senior Manager,1,South,Female
40,Master's Degree,Medium,Single,Senior Manager,2,East,Female
41,Some College,Low,Single,Entry Level,0,South,Male
42,Some College,Low,Single,Entry Level,0,Central,Male
43,Master's Degree,Medium,Married,Senior Manager,3,South,Female
44,Master's Degree,Low,Single,Senior Manager,0,East,Female
45,Master's Degree,High,Single,Senior Manager,0,North,Male
46,Some College,Low,Single,Entry Level,0,South,Female
47,Bachelor's Degree,Medium,Married,Manager,1,Central,Female
48,Bachelor's Degree,Medium,Married,Manager,0,West,Male
49,Bachelor's Degree,High,Married,Manager,1,West,Female
50,High School,Low,Single,Student,0,East,Male
51,Master's Degree,Low,Married,Senior Manager,2,West,Male
52,Bachelor's Degree,High,Married,Manager,1,West,Male
53,Bachelor's Degree,Medium,Married,Manager,2,West,Male
54,Master's Degree,High,Single,Senior Manager,3,South,Male
55,High School,Low,Single,Student,0,North,Male
56,Master's Degree,Low,Married,Senior Manager,2,Central,Female
57,Master's Degree,Low,Married,Senior Manager,0,West,Male
58,Master's Degree,Low,Married,Senior Manager,1,West,Female
59,Master's Degree,High,Single,Senior Manager,0,East,Male
60,Bachelor's Degree,Low,Married,Manager,0,North,Male
61,Bachelor's Degree,Low,Single,Manager,0,North,Female
62,Master's Degree,Low,Married,Senior Manager,2,South,Male
63,Bachelor's Degree,Low,Single,Manager,1,North,Male
64,Bachelor's Degree,Low,Married,Manager,3,North,Female
65,Master's Degree,Medium,Single,Senior Manager,2,Central,Male
66,Master's Degree,Medium,Single,Senior Manager,0,Central,Male
67,Master's Degree,Low,Single,Senior Manager,3,West,Male
68,Master's Degree,Low,Married,Senior Manager,2,South,Female
69,High School,Medium,Single,Student,0,North,Male
70,Bachelor's Degree,Medium,Married,Manager,1,Central,Female
71,Master's Degree,Medium,Married,Senior Manager,2,North,Male
72,Some College,Medium,Single,Entry Level,0,North,Female
73,Some College,Low,Single,Entry Level,0,East,Male
74,Master's Degree,High,Single,Senior Manager,1,Central,Male
75,High School,Low,Single,Student,0,West,Female
76,Some College,Low,Single,Entry Level,0,North,Male
77,Bachelor's Degree,Low,Married,Manager,1,Central,Male
78,Bachelor's Degree,Medium,Married,Manager,1,East,Male
79,Some College,High,Single,Entry Level,0,Central,Female
80,Bachelor's Degree,Medium,Married,Manager,0,North,Female
81,Bachelor's Degree,Low,Single,Manager,3,South,Male
82,Master's Degree,Low,Single,Senior Manager,0,North,Female
83,Bachelor's Degree,Low,Single,Manager,0,East,Male
84,Some College,High,Single,Entry Level,0,West,Female
85,Master's Degree,Low,Married,Senior Manager,1,West,Male
86,Master's Degree,Low,Married,Senior Manager,0,West,Female
87,Some College,Low,Single,Entry Level,0,East,Male
88,Bachelor's Degree,High,Married,Manager,2,Central,Female
89,Master's Degree,Low,Single,Senior Manager,1,East,Female
90,Master's Degree,Medium,Single,Senior Manager,1,East,Female
91,Master's Degree,Medium,Divorced,Senior Manager,2,North,Male
92,High School,Low,Single,Student,0,West,Male
93,Some College,Low,Single,Entry Level,0,North,Female
94,Master's Degree,Low,Single,Senior Manager,1,East,Male
95,Master's Degree,Medium,Married,Senior Manager,0,North,Female
96,Bachelor's Degree,Low,Married,Manager,1,East,Male
97,Bachelor's Degree,Low,Married,Manager,0,West,Male
98,Some College,Low,Single,Entry Level,0,West,Female
99,Bachelor's Degree,High,Divorced,Manager,0,West,Female
100,Master's Degree,Low,Married,Senior Manager,0,West,Male
101,Bachelor's Degree,Low,Single,Manager,0,East,Female
102,Master's Degree,Low,Married,Senior Manager,2,East,Male
103,Master's Degree,Medium,Married,Senior Manager,1,North,Male
104,High School,Low,Single,Student,0,North,Female
105,Some College,Medium,Single,Entry Level,0,North,Male
106,Master's Degree,Low,Single,Senior Manager,0,North,Female
107,High School,Low,Single,Student,0,North,Male
108,High School,High,Single,Student,0,Central,Male
109,Master's Degree,Low,Single,Senior Manager,2,Central,Male
110,Master's Degree,Low,Single,Senior Manager,2,South,Female
111,Master's Degree,Medium,Married,Senior Manager,0,Central,Female
112,Some College,Medium,Single,Entry Level,0,West,Male
113,Master's Degree,Low,Single,Senior Manager,3,North,Female
114,Master's Degree,High,Married,Senior Manager,0,West,Male
115,Bachelor's Degree,Low,Married,Manager,1,East,Male
116,High School,Low,Single,Student,0,East,Male
117,Master's Degree,Low,Married,Senior Manager,0,Central,Female
118,Master's Degree,Low,Married,Senior Manager,0,East,Male
119,Bachelor's Degree,Medium,Married,Manager,0,South,Male
120,Bachelor's Degree,High,Single,Manager,0,South,Female
121,High School,Medium,Single,Student,0,East,Female
122,Master's Degree,High,Married,Senior Manager,1,East,Female
123,Master's Degree,Low,Single,Senior Manager,1,Central,Male
124,Master's Degree,High,Single,Senior Manager,3,West,Female
125,Bachelor's Degree,Low,Married,Manager,2,North,Male
126,Bachelor's Degree,Low,Married,Manager,0,West,Female
127,Bachelor's Degree,Low,Single,Manager,3,East,Female
128,Bachelor's Degree,Low,Married,Manager,1,Central,Female
129,Bachelor's Degree,Medium,Married,Manager,1,East,Female
130,High School,Medium,Single,Student,0,West,Female
131,Some College,Low,Single,Entry Level,0,South,Male
132,Some College,Low,Single,Entry Level,0,North,Male
133,Master's Degree,Low,Married,Senior Manager,0,Central,Female
134,Master's Degree,High,Single,Senior Manager,1,South,Male
135,Bachelor's Degree,Low,Married,Manager,2,Central,Female
136,Bachelor's Degree,High,Married,Manager,3,East,Female
137,Some College,Low,Single,Entry Level,0,South,Female
138,Bachelor's Degree,Low,Single,Manager,1,South,Male
139,Some College,Low,Single,Entry Level,0,South,Male
140,Some College,Low,Single,Entry Level,0,Central,Female
141,Bachelor's Degree,High,Single,Manager,3,Central,Male
142,Master's Degree,Low,Single,Senior Manager,1,West,Female
143,Master's Degree,High,Married,Senior Manager,2,West,Male
144,Bachelor's Degree,High,Married,Manager,1,South,Male
145,Some College,Low,Single,Entry Level,0,South,Female
146,Bachelor's Degree,Low,Married,Manager,0,South,Female
147,Master's Degree,Low,Single,Senior Manager,0,Central,Male
148,Master's Degree,Low,Married,Senior Manager,0,Central,Male
149,Bachelor's Degree,Medium,Married,Manager,2,West,Male
150,Bachelor's Degree,Low,Single,Manager,2,South,Female
151,Master's Degree,Low,Married,Senior Manager,2,North,Male
152,Bachelor's Degree,High,Married,Manager,1,Central,Male
153,Bachelor's Degree,Low,Divorced,Manager,3,South,Female
154,Bachelor's Degree,Medium,Single,Manager,0,Central,Female
155,Bachelor's Degree,Low,Single,Manager,2,East,Female
156,Bachelor's Degree,Low,Single,Manager,3,South,Female
157,Master's Degree,High,Single,Senior Manager,3,North,Male
158,Master's Degree,Medium,Married,Senior Manager,3,East,Female
159,Bachelor's Degree,Low,Single,Manager,0,West,Female
160,Bachelor's Degree,Medium,Married,Manager,0,Central,Female
161,Master's Degree,Medium,Married,Senior Manager,2,East,Male
162,Bachelor's Degree,Low,Married,Manager,0,West,Female
163,Bachelor's Degree,Low,Divorced,Manager,0,South,Male
164,Master's Degree,Low,Married,Senior Manager,1,North,Female
165,Master's Degree,High,Single,Senior Manager,2,North,Male
166,Bachelor's Degree,Medium,Married,Manager,2,East,Male
167,Bachelor's Degree,Low,Single,Manager,2,North,Female
168,Bachelor's Degree,Low,Married,Manager,0,South,Male
169,Bachelor's Degree,Low,Single,Manager,1,Central,Female
170,Master's Degree,Low,Married,Senior Manager,1,North,Male
171,Master's Degree,High,Single,Senior Manager,3,Central,Male
172,Bachelor's Degree,Low,Single,Manager,2,North,Male
173,Bachelor's Degree,Low,Single,Manager,0,West,Female
