age,Education,Income,Marital_Status,Occupation,Children,Region,Gender
56,Bachelor's Degree,High,Single,Associate,0,North,Male
69,Bachelor's Degree,High,Married,Associate,0,East,Female
46,Master's Degree,High,Divorced,Senior Manager,1,North,Female
32,Bachelor's Degree,High,Married,Associate,1,Central,Female
60,Master's Degree,High,Married,Senior Manager,1,North,Female
25,Bachelor's Degree,Medium,Married,Manager,2,West,Female
38,Bachelor's Degree,Medium,Single,Manager,0,East,Male
56,Master's Degree,Low,Single,Senior Manager,2,Central,Female
36,Bachelor's Degree,Medium,Single,Manager,0,North,Male
40,Bachelor's Degree,Medium,Married,Manager,1,Central,Female
28,Bachelor's Degree,Low,Single,Associate,0,West,Female
28,Bachelor's Degree,High,Married,Associate,0,Central,Male
41,Bachelor's Degree,Medium,Divorced,Manager,1,South,Male
53,Master's Degree,Low,Married,Senior Manager,1,West,Male
57,Master's Degree,Low,Married,Senior Manager,1,West,Female
41,Bachelor's Degree,Medium,Divorced,Manager,0,East,Male
20,High School,Medium,Single,Student,0,East,Female
39,Bachelor's Degree,High,Married,Associate,1,East,Female
19,High School,Low,Single,Student,0,South,Female
41,Master's Degree,High,Married,Senior Manager,2,Central,Female
61,Master's Degree,Low,Married,Senior Manager,1,South,Male
47,Master's Degree,High,Divorced,Senior Manager,3,North,Female
55,Bachelor's Degree,Medium,Married,Manager,0,North,Male
19,High School,High,Single,Student,0,East,Male
38,Bachelor's Degree,Low,Married,Associate,3,South,Female
50,Master's Degree,High,Married,Senior Manager,2,South,Male
29,Bachelor's Degree,High,Married,Associate,1,East,Female
39,Bachelor's Degree,Low,Single,Associate,0,North,Female
61,Bachelor's Degree,Medium,Divorced,Manager,2,East,Female
42,Bachelor's Degree,Medium,Divorced,Manager,3,East,Female
66,Bachelor's Degree,Low,Married,Associate,0,Central,Male
44,Master's Degree,Low,Single,Senior Manager,0,Central,Male
59,Master's Degree,High,Married,Senior Manager,1,East,Female
45,Bachelor's Degree,High,Married,Associate,1,East,Female
33,Bachelor's Degree,Medium,Single,Manager,0,South,Male
32,Bachelor's Degree,High,Single,Associate,0,Central,Female
64,Bachelor's Degree,Low,Married,Associate,0,Central,Male
68,Master's Degree,Low,Divorced,Senior Manager,2,West,Female
61,Bachelor's Degree,Medium,Divorced,Manager,0,East,Male
69,Master's Degree,Low,Single,Senior Manager,2,West,Female
20,High School,Medium,Single,Student,0,East,Female
54,Bachelor's Degree,High,Divorced,Associate,0,Central,Male
68,Master's Degree,Low,Married,Senior Manager,3,South,Female
24,Some College,High,Single,Entry Level,0,East,Male
38,Bachelor's Degree,High,Single,Associate,1,East,Male
26,Bachelor's Degree,High,Married,Associate,2,East,Male
56,Bachelor's Degree,High,Married,Associate,3,West,Male
35,Bachelor's Degree,Medium,Married,Manager,3,West,Male
21,High School,High,Single,Student,0,East,Female
42,Master's Degree,Low,Divorced,Senior Manager,0,South,Male
31,Bachelor's Degree,High,Single,Associate,0,North,Female
67,Bachelor's Degree,High,Divorced,Associate,2,North,Female
26,Bachelor's Degree,High,Married,Associate,0,Central,Female
43,Bachelor's Degree,Low,Married,Associate,1,West,Male
19,High School,High,Single,Student,0,South,Male
37,Bachelor's Degree,Low,Single,Associate,0,Central,Male
45,Master's Degree,Low,Divorced,Senior Manager,0,East,Male
64,Master's Degree,Low,Single,Senior Manager,1,East,Male
24,Some College,Medium,Single,Entry Level,0,Central,Male
61,Bachelor's Degree,Medium,Married,Manager,1,East,Male
25,Bachelor's Degree,Medium,Single,Manager,0,South,Male
64,Bachelor's Degree,Medium,Married,Manager,1,West,Female
52,Master's Degree,High,Single,Senior Manager,2,West,Male
31,Bachelor's Degree,Low,Married,Associate,2,Central,Male
